Timestamp,Veuillez sélectionner le cas qui vous est pertinent :,Current_Bank,Region,Account_Package_Type,Satisfaction_Package_Variety,Package_Fit_Needs,Consider_Changing_Package,Online_Banking_Frequency,Online_Platform_Usability,Online_Banking_Issues,Customer_Service_Quality,Issue_Resolution_Speed,Customer_Service_Competence,Mobile_App_Satisfaction,Security_Measures_Rating,Loan_Credit_Service_Satisfaction,Branch_Visit_Frequency,Branch_Visit_Reason,Branch_Location_Convenience,Savings_Interest_Rate_Satisfaction,Fees_Charges_Satisfaction,Bank_Communication_Effectiveness,Service_Access_Rating,Primary_Information_Source,Reputation_Importance,Current_Banking_Management,Suggested_Improvements,Retention_Strategy,Overall_Experience_Satisfaction,Net_Promoter_Score
8/13/2024 17:12:57,Je ne suis pas intéressé(e) par une autre banque,CIH,Fes-Meknes,Jeune,Très satisfait,Parfaitement,"Non, je suis satisfait du pack actuel",Hebdomadaire,Très conviviale,Jamais,Bon,En une semaine,Neutre,Très satisfait,Bonnes,Neutre,Rarement,Transactions en espèces (dépôts/retraits),Pratiques,Neutre,Neutre,Neutre,Neutre,Avis en ligne,Neutre,En personne à une agence,Améliorer le service client,Plus de fonctionnalités en ligne,Satisfait,10
8/13/2024 18:22:35,Je ne suis pas intéressé(e) par une autre banque,Attijariwafa Bank,Rabat-Salé-Kenitra,Jeune,Insatisfait,Adéquatement,"Non, je suis satisfait du pack actuel",Hebdomadaire,Conviviale,Rarement,Très mauvais,Jamais résolu,Neutre,Neutre,Bonnes,Neutre,Rarement,Résoudre des problèmes ou des litiges,Très inconvenients,Neutre,Très satisfait,Très inefficace,Mauvais,Avis en ligne,Très importante,Application mobile,Minimiser les vistes physique pour résoudre des problèmes ,Plus de fonctionnalités en ligne,Insatisfait,4
8/13/2024 19:17:51,Je ne suis pas intéressé(e) par une autre banque,BMCE Bank of Africa,Fes-Meknes,Jeune,Neutre,Très bien,"Oui, en raison de meilleurs avantages dans un autre pack",Mensuelle,Neutre,"Oui, de temps en temps",Bon,En un jour,Neutre,Satisfait,Bonnes,Bon,Mensuelle,Transactions en espèces (dépôts/retraits),Neutres,Neutre,Neutre,Efficace,Bon,Amis ou famille,Importante,Application mobile,Améliorer les fonctionnalités du compte,Plus d'options de compte,Neutre,6
8/14/2024 8:57:52,Je ne suis pas intéressé(e) par une autre banque,CIH,Fes-Meknes,Jeune,Très satisfait,Très bien,"Oui, en raison de meilleurs avantages dans un autre pack",Mensuelle,Très conviviale,Rarement,Bon,En une semaine,Neutre,Satisfait,Neutres,Neutre,Rarement,Transactions en espèces (dépôts/retraits),Neutres,Neutre,Très satisfait,Efficace,Bon,Avis en ligne,Pas importante du tout,Application mobile,Améliorer le service client,Meilleur service client,Satisfait,8
8/15/2024 1:47:31,Je ne suis pas intéressé(e) par une autre banque,CIH,Casablanca-Settat,Jeune,Satisfait,Parfaitement,"Non, je suis satisfait du pack actuel",Hebdomadaire,Conviviale,Rarement,Bon,En une semaine,Compétents et utiles,Satisfait,Bonnes,Bon,Trimestrielle,Transactions en espèces (dépôts/retraits),Très pratiques,Neutre,Satisfait,Très efficace,Excellent,Avis en ligne,Très importante,Application mobile,Offrir de meilleurs taux d'intérêt,Meilleur service client,Satisfait,7
8/15/2024 9:26:08,Je ne suis pas intéressé(e) par une autre banque,Attijariwafa Bank,Casablanca-Settat,Jeune,Satisfait,Très bien,"Non, je suis satisfait du pack actuel",Quotidienne,Très conviviale,Rarement,Bon,En un jour,Neutre,Très satisfait,Bonnes,Bon,Rarement,Récupération des documents,Pratiques,Satisfait,Satisfait,Efficace,Bon,Avis en ligne,Très importante,Application mobile,Améliorer le service client,Meilleur service client,Satisfait,9
8/15/2024 9:55:30,Je ne suis pas intéressé(e) par une autre banque,CIH,Casablanca-Settat,Jeune,Satisfait,Très bien,"Non, je suis satisfait du pack actuel",Hebdomadaire,Très conviviale,Rarement,Bon,En une semaine,Compétents et utiles,Très satisfait,Bonnes,Très mauvais,Rarement,Transactions en espèces (dépôts/retraits),Pratiques,Neutre,Satisfait,Efficace,Bon,Avis en ligne,Très importante,Banque en ligne,Améliorer le service client,Meilleur service client,Satisfait,8
8/15/2024 10:01:54,Je ne suis pas intéressé(e) par une autre banque,Attijariwafa Bank,Casablanca-Settat,Jeune,Très satisfait,Très bien,"Oui, en raison de meilleurs avantages dans un autre pack",Hebdomadaire,Conviviale,"Oui, de temps en temps",Excellent,Immédiatement,Compétents et utiles,Satisfait,Excellentes,Bon,Rarement,Services ou conseils financiers personnalisés,Très pratiques,Satisfait,Très satisfait,Efficace,Bon,Conseillers financiers,Très importante,Application mobile,Offrir de meilleurs taux d'intérêt,Plus de fonctionnalités en ligne,Très satisfait,10
8/15/2024 10:11:00,Je ne suis pas intéressé(e) par une autre banque,CIH,Marrakech-Safi-Essaouira,Jeune,Neutre,Adéquatement,Pas sûr,Mensuelle,Neutre,"Oui, de temps en temps",Neutre,En un jour,Neutre,Neutre,Bonnes,Neutre,Rarement,Services ou conseils financiers personnalisés,Pratiques,Neutre,Neutre,Efficace,Neutre,Avis en ligne,Importante,Application mobile,Améliorer le service client,Plus de fonctionnalités en ligne,Neutre,7
8/15/2024 10:15:24,Je ne suis pas intéressé(e) par une autre banque,Attijariwafa Bank,Casablanca-Settat,Jeune,Très satisfait,Parfaitement,"Oui, en raison de meilleurs avantages dans un autre pack",Quotidienne,Très conviviale,"Oui, souvent",Excellent,Immédiatement,Très compétents et utiles,Très satisfait,Excellentes,Excellent,Hebdomadaire,Demande de chéquier,Très pratiques,Très satisfait,Très satisfait,Très efficace,Excellent,Avis en ligne,Très importante,En personne à une agence,Améliorer le service client,Meilleur service client,Très satisfait,0
8/15/2024 10:30:56,Je ne suis pas intéressé(e) par une autre banque,CIH,Tanger-Tetouan-Al Hoceima,Jeune,Satisfait,Très bien,"Non, je suis satisfait du pack actuel",Hebdomadaire,Conviviale,"Oui, souvent",Bon,En un jour,Compétents et utiles,Satisfait,Bonnes,Neutre,Trimestrielle,Transactions en espèces (dépôts/retraits),Pratiques,Neutre,Satisfait,Efficace,Bon,Avis en ligne,Très importante,Banque en ligne,Réduire les frais,Plus de fonctionnalités en ligne,Satisfait,9
8/15/2024 11:19:35,Je ne suis pas intéressé(e) par une autre banque,Attijariwafa Bank,Rabat-Salé-Kenitra,Jeune,Satisfait,Parfaitement,"Non, je suis satisfait du pack actuel",Hebdomadaire,Conviviale,Rarement,Excellent,Immédiatement,Très compétents et utiles,Très satisfait,Excellentes,Excellent,Rarement,Services ou conseils financiers personnalisés,Très pratiques,Neutre,Neutre,Efficace,Excellent,Conseillers financiers,Très importante,Application mobile,Réduire les frais,Plus de fonctionnalités en ligne,Satisfait,9
8/15/2024 11:21:20,Je ne suis pas intéressé(e) par une autre banque,CIH,Laayoune-Sakia El Hamra,Jeune,Satisfait,Très bien,Pas sûr,Hebdomadaire,Conviviale,Rarement,Bon,En une semaine,Neutre,Satisfait,Excellentes,Neutre,Rarement,Ouvrir ou fermer un compte,Neutres,Neutre,Neutre,Neutre,Neutre,Amis ou famille,Très importante,Banque en ligne,Améliorer le service client,Meilleur service client,Satisfait,6
8/15/2024 11:24:13,Je ne suis pas intéressé(e) par une autre banque,BMCE Bank of Africa,Tanger-Tetouan-Al Hoceima,Jeune,Satisfait,Très bien,"Non, je suis satisfait du pack actuel",Quotidienne,Conviviale,"Oui, de temps en temps",Bon,En une semaine,Neutre,Satisfait,Bonnes,Neutre,Rarement,Ouvrir ou fermer un compte,Pratiques,Insatisfait,Neutre,Efficace,Bon,Amis ou famille,Très importante,Application mobile,Améliorer les fonctionnalités du compte,Plus de fonctionnalités en ligne,Satisfait,8
8/15/2024 11:36:19,Je ne suis pas intéressé(e) par une autre banque,CIH,Casablanca-Settat,Jeune,Satisfait,Très bien,"Non, je suis satisfait du pack actuel",Quotidienne,Conviviale,Rarement,Mauvais,En un jour,Compétents et utiles,Très satisfait,Excellentes,Neutre,Jamais,Ouvrir ou fermer un compte,Neutres,Neutre,Satisfait,Efficace,Bon,Amis ou famille,Importante,Application mobile,Améliorer le service client,Plus de fonctionnalités en ligne,Satisfait,9
8/15/2024 11:38:48,Je ne suis pas intéressé(e) par une autre banque,CIH,Casablanca-Settat,Jeune,Neutre,Adéquatement,"Non, je suis satisfait du pack actuel",Quotidienne,Conviviale,"Oui, de temps en temps",Mauvais,En une semaine,Compétents et utiles,Satisfait,Bonnes,Neutre,Rarement,Transactions en espèces (dépôts/retraits),Inconvenients,Neutre,Satisfait,Efficace,Bon,Amis ou famille,Importante,Application mobile,Améliorer le service client,Meilleur service client,Satisfait,7
8/15/2024 11:41:34,Je ne suis pas intéressé(e) par une autre banque,CIH,Fes-Meknes,Jeune,Satisfait,Très bien,"Non, je suis satisfait du pack actuel",Hebdomadaire,Très conviviale,Rarement,Mauvais,Plus d'une semaine,Peu compétents ou utiles,Très satisfait,Bonnes,Neutre,Rarement,Transactions en espèces (dépôts/retraits),Pratiques,Neutre,Satisfait,Efficace,Bon,Avis en ligne,Importante,Application mobile,Améliorer les fonctionnalités du compte,Plus de fonctionnalités en ligne,Satisfait,8
8/15/2024 11:56:15,Je ne suis pas intéressé(e) par une autre banque,Banque Populaire,Marrakech-Safi-Essaouira,Jeune,Satisfait,Adéquatement,"Non, je suis satisfait du pack actuel",Hebdomadaire,Très conviviale,Rarement,Bon,En un jour,Compétents et utiles,Très satisfait,Bonnes,Bon,Rarement,Résoudre des problèmes ou des litiges,Neutres,Satisfait,Neutre,Inefficace,Bon,Amis ou famille,Importante,En personne à une agence,Réduire les frais,Frais plus bas,Satisfait,8
8/15/2024 12:09:07,Je ne suis pas intéressé(e) par une autre banque,Attijariwafa Bank,Casablanca-Settat,Jeune,Très satisfait,Très bien,"Non, je suis satisfait du pack actuel",Quotidienne,Conviviale,Rarement,Excellent,En un jour,Très compétents et utiles,Très satisfait,Bonnes,Bon,Mensuelle,Transactions en espèces (dépôts/retraits),Très pratiques,Satisfait,Satisfait,Très efficace,Bon,Avis en ligne,Très importante,Banque en ligne,Offrir de meilleurs taux d'intérêt,Plus de fonctionnalités en ligne,Satisfait,8
8/15/2024 12:47:03,Je ne suis pas intéressé(e) par une autre banque,Attijariwafa Bank,Casablanca-Settat,Jeune,Très satisfait,Pas du tout,Pas sûr,Hebdomadaire,Conviviale,"Oui, souvent",Excellent,En un jour,Neutre,Très satisfait,Neutres,Bon,Hebdomadaire,Demande de prêts ou crédits,Neutres,Satisfait,Très satisfait,Efficace,Bon,Conseillers financiers,Importante,Banque en ligne,Améliorer le service client,Meilleur service client,Très satisfait,8
8/15/2024 13:33:14,Je ne suis pas intéressé(e) par une autre banque,CIH,Casablanca-Settat,Jeune,Satisfait,Parfaitement,"Non, je suis satisfait du pack actuel",Hebdomadaire,Conviviale,Rarement,Bon,En une semaine,Neutre,Satisfait,Neutres,Neutre,Rarement,Services ou conseils financiers personnalisés,Pratiques,Neutre,Neutre,Neutre,Bon,Conseillers financiers,Très importante,Application mobile,Améliorer les fonctionnalités du compte,Plus de fonctionnalités en ligne,Satisfait,8
8/15/2024 14:39:09,Je ne suis pas intéressé(e) par une autre banque,CIH,Casablanca-Settat,Jeune,Satisfait,Très bien,"Non, je suis satisfait du pack actuel",Hebdomadaire,Conviviale,"Oui, de temps en temps",Bon,En un jour,Neutre,Satisfait,Bonnes,Neutre,Jamais,Ouvrir ou fermer un compte,Très pratiques,Neutre,Neutre,Très efficace,Bon,Amis ou famille,Importante,Banque en ligne,Améliorer le service client,Plus de fonctionnalités en ligne,Satisfait,8
8/15/2024 15:22:06,Je ne suis pas intéressé(e) par une autre banque,Banque Populaire,Rabat-Salé-Kenitra,Jeune,Satisfait,Adéquatement,"Oui, en raison de meilleurs avantages dans un autre pack",Mensuelle,Neutre,Rarement,Mauvais,En un jour,Neutre,Très insatisfait,Excellentes,Bon,Mensuelle,Demande de prêts ou crédits,Pratiques,Très satisfait,Neutre,Très efficace,Bon,Conseillers financiers,Peu importante,Banque en ligne,Réduire les frais,Plus de fonctionnalités en ligne,Satisfait,2
8/15/2024 15:24:21,Je ne suis pas intéressé(e) par une autre banque,BMCE Bank of Africa,Casablanca-Settat,Jeune,Satisfait,Très bien,"Non, je suis satisfait du pack actuel",Hebdomadaire,Conviviale,Rarement,Bon,En un jour,Très compétents et utiles,Satisfait,Bonnes,Bon,Rarement,Services ou conseils financiers personnalisés,Très pratiques,Satisfait,Satisfait,Efficace,Bon,Amis ou famille,Très importante,En personne à une agence,Améliorer le service client,Plus de fonctionnalités en ligne,Satisfait,10
8/15/2024 15:29:56,Je ne suis pas intéressé(e) par une autre banque,CIH,Beni Mellal-Khenifra,Jeune,Neutre,Adéquatement,"Non, je suis satisfait du pack actuel",Rarement,Conviviale,"Oui, de temps en temps",Très mauvais,En une semaine,Neutre,Satisfait,Mauvaises,Bon,Rarement,Transactions en espèces (dépôts/retraits),Pratiques,Neutre,Insatisfait,Efficace,Bon,Avis en ligne,Importante,Banque en ligne,Améliorer le service client,Frais plus bas,Neutre,7
8/15/2024 16:17:29,Je ne suis pas intéressé(e) par une autre banque,Banque Populaire,Marrakech-Safi-Essaouira,Jeune,Très satisfait,Parfaitement,"Oui, en raison de meilleurs avantages dans un autre pack",Quotidienne,Très conviviale,Jamais,Excellent,Immédiatement,Très compétents et utiles,Très satisfait,Excellentes,Excellent,Rarement,Transactions en espèces (dépôts/retraits),Très pratiques,Très satisfait,Très satisfait,Très efficace,Excellent,Avis en ligne,Très importante,En personne à une agence,Améliorer les fonctionnalités du compte,Plus de fonctionnalités en ligne,Très satisfait,10
8/15/2024 16:39:39,Je ne suis pas intéressé(e) par une autre banque,Barid Bank,Tanger-Tetouan-Al Hoceima,Jeune,Très satisfait,Adéquatement,"Non, je suis satisfait du pack actuel",Hebdomadaire,Très conviviale,"Oui, de temps en temps",Excellent,Immédiatement,Compétents et utiles,Très satisfait,Excellentes,Neutre,Hebdomadaire,Résoudre des problèmes ou des litiges,Neutres,Satisfait,Très satisfait,Très efficace,Excellent,Avis en ligne,Très importante,Application mobile,Offrir de meilleurs taux d'intérêt,Meilleur service client,Très satisfait,9
8/15/2024 17:08:02,Je ne suis pas intéressé(e) par une autre banque,Attijariwafa Bank,Rabat-Salé-Kenitra,Jeune,Satisfait,Parfaitement,"Non, je suis satisfait du pack actuel",Quotidienne,Conviviale,"Oui, de temps en temps",Bon,Immédiatement,Très compétents et utiles,Très satisfait,Bonnes,Neutre,Rarement,Résoudre des problèmes ou des litiges,Très pratiques,Neutre,Satisfait,Neutre,Excellent,Amis ou famille,Très importante,Banque en ligne,Améliorer les fonctionnalités du compte,Plus de fonctionnalités en ligne,Satisfait,9
8/15/2024 19:01:34,Je ne suis pas intéressé(e) par une autre banque,CIH,Drâa-Tafilalet,Jeune,Neutre,Adéquatement,"Non, je suis satisfait du pack actuel",Hebdomadaire,Conviviale,Rarement,Neutre,En un jour,Neutre,Satisfait,Bonnes,Bon,Rarement,Résoudre des problèmes ou des litiges,Très pratiques,Insatisfait,Satisfait,Inefficace,Bon,Avis en ligne,Importante,Application mobile,Améliorer le service client,Meilleur service client,Satisfait,7
8/15/2024 19:14:54,Je ne suis pas intéressé(e) par une autre banque,CIH,Rabat-Salé-Kenitra,Jeune,Insatisfait,Mal,"Oui, en raison de meilleurs avantages dans un autre pack",Quotidienne,Neutre,"Oui, souvent",Mauvais,En une semaine,Peu compétents ou utiles,Neutre,Mauvaises,Mauvais,Rarement,Demande de chéquier,Très inconvenients,Insatisfait,Insatisfait,Inefficace,Mauvais,Avis en ligne,Très importante,Application mobile,Améliorer le service client,Meilleur service client,Insatisfait,5
8/15/2024 19:18:07,Je ne suis pas intéressé(e) par une autre banque,Banque Populaire,Casablanca-Settat,#LIVE,Satisfait,Adéquatement,"Non, je suis satisfait du pack actuel",Hebdomadaire,Très conviviale,Jamais,Neutre,En un jour,Neutre,Satisfait,Bonnes,Neutre,Rarement,Résoudre des problèmes ou des litiges,Très inconvenients,Neutre,Neutre,Efficace,Excellent,Amis ou famille,Très importante,Application mobile,Réduire les frais,Frais plus bas,Satisfait,7
8/15/2024 19:18:35,Je ne suis pas intéressé(e) par une autre banque,CIH,Beni Mellal-Khenifra,Pas de pack ,Neutre,Pas du tout,Pas sûr,Mensuelle,Conviviale,Rarement,Bon,En un jour,Compétents et utiles,Satisfait,Neutres,Neutre,Trimestrielle,Ouvrir ou fermer un compte,Neutres,Neutre,Neutre,Neutre,Bon,Avis en ligne,Neutre,Application mobile,Améliorer les fonctionnalités du compte,Plus de fonctionnalités en ligne,Satisfait,6
8/15/2024 19:44:22,Je ne suis pas intéressé(e) par une autre banque,CIH,Casablanca-Settat,Jeune,Neutre,Très bien,"Non, je suis satisfait du pack actuel",Hebdomadaire,Très conviviale,"Oui, de temps en temps",Mauvais,En une semaine,Compétents et utiles,Satisfait,Excellentes,Bon,Rarement,Résoudre des problèmes ou des litiges,Neutres,Satisfait,Neutre,Neutre,Bon,Avis en ligne,Très importante,Application mobile,Améliorer le service client,Meilleur service client,Satisfait,7
8/15/2024 21:14:59,Je ne suis pas intéressé(e) par une autre banque,CIH,Casablanca-Settat,Jeune,Neutre,Adéquatement,Pas sûr,Rarement,Conviviale,Rarement,Neutre,En un jour,Compétents et utiles,Satisfait,Bonnes,Neutre,Rarement,Ouvrir ou fermer un compte,Pratiques,Neutre,Neutre,Neutre,Bon,Amis ou famille,Importante,Application mobile,Améliorer les fonctionnalités du compte,Meilleur service client,Neutre,7
8/16/2024 1:05:03,Je ne suis pas intéressé(e) par une autre banque,barid bank,Tanger-Tetouan-Al Hoceima,Jeune,Satisfait,Adéquatement,"Non, je suis satisfait du pack actuel",Mensuelle,Neutre,Jamais,Bon,En un jour,Compétents et utiles,Très satisfait,Excellentes,Neutre,Mensuelle,Résoudre des problèmes ou des litiges,Inconvenients,Neutre,Neutre,Neutre,Bon,Avis en ligne,Importante,Banque en ligne,Réduire les frais,Plus de fonctionnalités en ligne,Satisfait,7
8/16/2024 13:42:44,Je ne suis pas intéressé(e) par une autre banque,BMCE Bank of Africa,Casablanca-Settat,Jeune,Satisfait,Parfaitement,"Non, je suis satisfait du pack actuel",Quotidienne,Très conviviale,Rarement,Excellent,En un jour,Compétents et utiles,Très satisfait,Bonnes,Bon,Rarement,Services ou conseils financiers personnalisés,Pratiques,Neutre,Neutre,Efficace,Bon,Avis en ligne,Très importante,Application mobile,Réduire les frais,Frais plus bas,Satisfait,9
8/17/2024 11:30:51,Je ne suis pas intéressé(e) par une autre banque,BMCE Bank of Africa,Rabat-Salé-Kenitra,Jeune,Neutre,Adéquatement,"Oui, en raison de frais inférieurs dans un autre pack",Mensuelle,Neutre,"Oui, de temps en temps",Neutre,En une semaine,Neutre,Neutre,Neutres,Neutre,Mensuelle,Transactions en espèces (dépôts/retraits),Neutres,Neutre,Neutre,Neutre,Neutre,Amis ou famille,Neutre,Application mobile,Réduire les frais,Plus de fonctionnalités en ligne,Neutre,7
8/17/2024 12:59:41,Je ne suis pas intéressé(e) par une autre banque,LCL,Île-de-France,Silver,Neutre,Très bien,"Non, je suis satisfait du pack actuel",Hebdomadaire,Neutre,Rarement,Bon,Immédiatement,Compétents et utiles,Satisfait,Excellentes,Neutre,Jamais,Ouvrir ou fermer un compte,Neutres,Neutre,Neutre,Neutre,Neutre,Avis en ligne,Importante,Banque en ligne,Réduire les frais,Frais plus bas,Satisfait,9
8/17/2024 18:19:09,Je ne suis pas intéressé(e) par une autre banque,CIH,Rabat-Salé-Kenitra,Jeune,Neutre,Très bien,"Non, je suis satisfait du pack actuel",Hebdomadaire,Conviviale,"Oui, de temps en temps",Neutre,En une semaine,Neutre,Satisfait,Neutres,Neutre,Mensuelle,Transactions en espèces (dépôts/retraits),Pratiques,Neutre,Satisfait,Neutre,Bon,Amis ou famille,Très importante,Banque en ligne,Améliorer le service client,Plus de fonctionnalités en ligne,Satisfait,6
8/17/2024 18:32:41,Je ne suis pas intéressé(e) par une autre banque,Attijariwafa Bank,Casablanca-Settat,Jeune,Satisfait,Très bien,"Non, je suis satisfait du pack actuel",Quotidienne,Conviviale,"Oui, de temps en temps",Bon,En une semaine,Compétents et utiles,Satisfait,Bonnes,Neutre,Rarement,Résoudre des problèmes ou des litiges,Pratiques,Neutre,Neutre,Efficace,Bon,Amis ou famille,Très importante,Application mobile,Réduire les frais,Plus de fonctionnalités en ligne,Satisfait,7
8/20/2024 20:20:19,Je ne suis pas intéressé(e) par une autre banque,CIH,Fes-Meknes,Jeune,Neutre,Adéquatement,"Non, je suis satisfait du pack actuel",Hebdomadaire,Conviviale,"Oui, de temps en temps",Mauvais,En une semaine,Neutre,Satisfait,Bonnes,Neutre,Hebdomadaire,Transactions en espèces (dépôts/retraits),Neutres,Neutre,Neutre,Neutre,Neutre,Avis en ligne,Très importante,Application mobile,Améliorer le service client,Meilleur service client,Neutre,10
8/22/2024 17:39:56,Je ne suis pas intéressé(e) par une autre banque,Attijariwafa Bank,Casablanca-Settat,Platinium,Très satisfait,Parfaitement,"Oui, en raison de frais inférieurs dans un autre pack",Quotidienne,Très conviviale,Rarement,Excellent,Immédiatement,Très compétents et utiles,Très satisfait,Excellentes,Neutre,Rarement,Transactions en espèces (dépôts/retraits),Très pratiques,Neutre,Satisfait,Neutre,Bon,Amis ou famille,Très importante,Application mobile,Améliorer le service client,Plus d'options de compte,Très satisfait,10
8/22/2024 23:28:04,Je ne suis pas intéressé(e) par une autre banque,Attijariwafa Bank,Casablanca-Settat,l'banka lik,Satisfait,Parfaitement,"Non, je suis satisfait du pack actuel",Hebdomadaire,Très conviviale,Rarement,Bon,Immédiatement,Très compétents et utiles,Très satisfait,Excellentes,Neutre,Mensuelle,Transactions en espèces (dépôts/retraits),Neutres,Neutre,Satisfait,Efficace,Bon,Amis ou famille,Importante,Application mobile,Améliorer les fonctionnalités du compte,Plus d'options de compte,Satisfait,10
